"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"1907","3.650475421","172.16.10.9","172.16.20.9","TCP","2962","0.001600527","5004  >  57968 [PSH, ACK] Seq=217201 Ack=1 Win=85 Len=2896 TSval=2165898650 TSecr=3655880038 [TCP segment of a reassembled PDU]"
"1941","3.717423755","172.16.10.9","172.16.20.9","TCP","2962","0.002551467","5004  >  57968 [PSH, ACK] Seq=220097 Ack=1 Win=85 Len=2896 TSval=2165898712 TSecr=3655880100 [TCP segment of a reassembled PDU]"
"1958","3.744750099","172.16.10.9","172.16.20.9","TCP","2962","0.001395037","5004  >  57968 [PSH, ACK] Seq=222993 Ack=1 Win=85 Len=2896 TSval=2165898741 TSecr=3655880129 [TCP segment of a reassembled PDU]"
"1992","3.816713811","172.16.10.9","172.16.20.9","TCP","2962","0.001604461","5004  >  57968 [PSH, ACK] Seq=225889 Ack=1 Win=85 Len=2896 TSval=2165898808 TSecr=3655880196 [TCP segment of a reassembled PDU]"
"2009","3.872421691","172.16.10.9","172.16.20.9","TCP","2962","0.000937381","5004  >  57968 [PSH, ACK] Seq=228785 Ack=1 Win=85 Len=2896 TSval=2165898835 TSecr=3655880223 [TCP segment of a reassembled PDU]"
"2043","3.930110099","172.16.10.9","172.16.20.9","TCP","2962","0.001548166","5004  >  57968 [PSH, ACK] Seq=231681 Ack=1 Win=85 Len=2896 TSval=2165898907 TSecr=3655880295 [TCP segment of a reassembled PDU]"
"2060","3.955861054","172.16.10.9","172.16.20.9","TCP","2962","0.000915449","5004  >  57968 [PSH, ACK] Seq=234577 Ack=1 Win=85 Len=2896 TSval=2165898963 TSecr=3655880351 [TCP segment of a reassembled PDU]"
"2092","4.015437782","172.16.10.9","172.16.20.9","TCP","2962","0.009515835","5004  >  57968 [PSH, ACK] Seq=237473 Ack=1 Win=85 Len=2896 TSval=2165899021 TSecr=3655880409 [TCP segment of a reassembled PDU]"
"2110","4.041433596","172.16.10.9","172.16.20.9","TCP","2962","0.001998228","5004  >  57968 [PSH, ACK] Seq=240369 Ack=1 Win=85 Len=2896 TSval=2165899047 TSecr=3655880435 [TCP segment of a reassembled PDU]"
"2143","4.117538823","172.16.10.9","172.16.20.9","TCP","2962","0.001828485","5004  >  57968 [PSH, ACK] Seq=243265 Ack=1 Win=85 Len=2896 TSval=2165899107 TSecr=3655880494 [TCP segment of a reassembled PDU]"
"2161","4.144684726","172.16.10.9","172.16.20.9","TCP","2962","0.001245016","5004  >  57968 [PSH, ACK] Seq=246161 Ack=1 Win=85 Len=2896 TSval=2165899132 TSecr=3655880520 [TCP segment of a reassembled PDU]"
"2193","4.196022872","172.16.10.9","172.16.20.9","TCP","2962","0.001399836","5004  >  57968 [PSH, ACK] Seq=249057 Ack=1 Win=85 Len=2896 TSval=2165899208 TSecr=3655880596 [TCP segment of a reassembled PDU]"
"2212","4.240039579","172.16.10.9","172.16.20.9","TCP","2962","0.002123305","5004  >  57968 [PSH, ACK] Seq=251953 Ack=1 Win=85 Len=2896 TSval=2165899235 TSecr=3655880623 [TCP segment of a reassembled PDU]"
"2244","4.296318088","172.16.10.9","172.16.20.9","TCP","2962","0.001129425","5004  >  57968 [PSH, ACK] Seq=254849 Ack=1 Win=85 Len=2896 TSval=2165899287 TSecr=3655880675 [TCP segment of a reassembled PDU]"
"2263","4.332454759","172.16.10.9","172.16.20.9","TCP","2962","0.001555774","5004  >  57968 [PSH, ACK] Seq=257745 Ack=1 Win=85 Len=2896 TSval=2165899331 TSecr=3655880719 [TCP segment of a reassembled PDU]"
"2295","4.386657562","172.16.10.9","172.16.20.9","TCP","2962","0.002229086","5004  >  57968 [PSH, ACK] Seq=260641 Ack=1 Win=85 Len=2896 TSval=2165899395 TSecr=3655880782 [TCP segment of a reassembled PDU]"
"2314","4.420960709","172.16.10.9","172.16.20.9","TCP","2962","0.001466117","5004  >  57968 [PSH, ACK] Seq=263537 Ack=1 Win=85 Len=2896 TSval=2165899423 TSecr=3655880811 [TCP segment of a reassembled PDU]"
"2346","4.478440792","172.16.10.9","172.16.20.9","TCP","2962","0.002607074","5004  >  57968 [PSH, ACK] Seq=266433 Ack=1 Win=85 Len=2896 TSval=2165899478 TSecr=3655880865 [TCP segment of a reassembled PDU]"
"2365","4.508670742","172.16.10.9","172.16.20.9","TCP","2962","0.004525943","5004  >  57968 [PSH, ACK] Seq=269329 Ack=1 Win=85 Len=2896 TSval=2165899512 TSecr=3655880899 [TCP segment of a reassembled PDU]"
"2397","4.578794173","172.16.10.9","172.16.20.9","TCP","2962","0.001994743","5004  >  57968 [PSH, ACK] Seq=272225 Ack=1 Win=85 Len=2896 TSval=2165899569 TSecr=3655880957 [TCP segment of a reassembled PDU]"
"2416","4.611826797","172.16.10.9","172.16.20.9","TCP","2962","0.001549854","5004  >  57968 [PSH, ACK] Seq=275121 Ack=1 Win=85 Len=2896 TSval=2165899600 TSecr=3655880987 [TCP segment of a reassembled PDU]"
"2448","4.664715048","172.16.10.9","172.16.20.9","TCP","2962","0.000805868","5004  >  57968 [PSH, ACK] Seq=278017 Ack=1 Win=85 Len=2896 TSval=2165899669 TSecr=3655881057 [TCP segment of a reassembled PDU]"
"2467","4.701984641","172.16.10.9","172.16.20.9","TCP","2962","0.003248018","5004  >  57968 [PSH, ACK] Seq=280913 Ack=1 Win=85 Len=2896 TSval=2165899703 TSecr=3655881090 [TCP segment of a reassembled PDU]"
"2499","4.753574977","172.16.10.9","172.16.20.9","TCP","2962","0.000920559","5004  >  57968 [PSH, ACK] Seq=283809 Ack=1 Win=85 Len=2896 TSval=2165899756 TSecr=3655881144 [TCP segment of a reassembled PDU]"
"2518","4.791070333","172.16.10.9","172.16.20.9","TCP","2962","0.002507088","5004  >  57968 [PSH, ACK] Seq=286705 Ack=1 Win=85 Len=2896 TSval=2165899793 TSecr=3655881181 [TCP segment of a reassembled PDU]"
"2550","4.854105442","172.16.10.9","172.16.20.9","TCP","2962","0.001727092","5004  >  57968 [PSH, ACK] Seq=289601 Ack=1 Win=85 Len=2896 TSval=2165899844 TSecr=3655881232 [TCP segment of a reassembled PDU]"
"2569","4.893699883","172.16.10.9","172.16.20.9","TCP","2962","0.001809827","5004  >  57968 [PSH, ACK] Seq=292497 Ack=1 Win=85 Len=2896 TSval=2165899882 TSecr=3655881270 [TCP segment of a reassembled PDU]"
"2601","4.949065398","172.16.10.9","172.16.20.9","TCP","2962","0.002061515","5004  >  57968 [PSH, ACK] Seq=295393 Ack=1 Win=85 Len=2896 TSval=2165899945 TSecr=3655881333 [TCP segment of a reassembled PDU]"
"2619","5.002391867","172.16.10.9","172.16.20.9","TCP","2962","0.003422952","5004  >  57968 [PSH, ACK] Seq=298289 Ack=1 Win=85 Len=2896 TSval=2165899984 TSecr=3655881372 [TCP segment of a reassembled PDU]"
"2652","5.076982528","172.16.10.9","172.16.20.9","TCP","2962","0.002363445","5004  >  57968 [PSH, ACK] Seq=301185 Ack=1 Win=85 Len=2896 TSval=2165900040 TSecr=3655881428 [TCP segment of a reassembled PDU]"
"2670","5.115469133","172.16.10.9","172.16.20.9","TCP","2962","0.000894028","5004  >  57968 [PSH, ACK] Seq=304081 Ack=1 Win=85 Len=2896 TSval=2165900093 TSecr=3655881481 [TCP segment of a reassembled PDU]"
"2703","5.165603869","172.16.10.9","172.16.20.9","TCP","2962","0.001330224","5004  >  57968 [PSH, ACK] Seq=306977 Ack=1 Win=85 Len=2896 TSval=2165900168 TSecr=3655881556 [TCP segment of a reassembled PDU]"
"2721","5.198643215","172.16.10.9","172.16.20.9","TCP","2962","0.001117220","5004  >  57968 [PSH, ACK] Seq=309873 Ack=1 Win=85 Len=2896 TSval=2165900206 TSecr=3655881594 [TCP segment of a reassembled PDU]"
"2754","5.276503241","172.16.10.9","172.16.20.9","TCP","2962","0.002836494","5004  >  57968 [PSH, ACK] Seq=312769 Ack=1 Win=85 Len=2896 TSval=2165900256 TSecr=3655881644 [TCP segment of a reassembled PDU]"
"2772","5.319727157","172.16.10.9","172.16.20.9","TCP","2962","0.001086799","5004  >  57968 [PSH, ACK] Seq=315665 Ack=1 Win=85 Len=2896 TSval=2165900289 TSecr=3655881677 [TCP segment of a reassembled PDU]"
