"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"92","110.021562477","172.16.10.9","172.16.20.9","TCP","1105","0.002795414","5004  >  39686 [PSH, ACK] Seq=220716 Ack=137 Win=43520 Len=1039 TSval=2165678453 TSecr=3655659841 [TCP segment of a reassembled PDU]"
"94","110.218348512","172.16.10.9","172.16.20.9","TCP","5169","0.196745501","5004  >  39686 [PSH, ACK] Seq=221755 Ack=137 Win=43520 Len=5103 TSval=2165678654 TSecr=3655659845 [TCP segment of a reassembled PDU]"
"96","110.281929418","172.16.10.9","172.16.20.9","TCP","10066","0.063467782","5004  >  39686 [PSH, ACK] Seq=226858 Ack=137 Win=43520 Len=10000 TSval=2165678718 TSecr=3655660042 [TCP segment of a reassembled PDU]"
"98","110.294648871","172.16.10.9","172.16.20.9","TCP","7992","0.012620299","5004  >  39686 [PSH, ACK] Seq=236858 Ack=137 Win=43520 Len=7926 TSval=2165678718 TSecr=3655660106 [TCP segment of a reassembled PDU]"
"100","110.469518307","172.16.10.9","172.16.20.9","TCP","10066","0.174845863","5004  >  39686 [PSH, ACK] Seq=244784 Ack=137 Win=43520 Len=10000 TSval=2165678905 TSecr=3655660119 [TCP segment of a reassembled PDU]"
"102","110.481618850","172.16.10.9","172.16.20.9","TCP","7306","0.012011271","5004  >  39686 [PSH, ACK] Seq=254784 Ack=137 Win=43520 Len=7240 TSval=2165678905 TSecr=3655660119 [TCP segment of a reassembled PDU]"
"104","110.488557987","172.16.10.9","172.16.20.9","TCP","1302","0.006915293","5004  >  39686 [PSH, ACK] Seq=262024 Ack=137 Win=43520 Len=1236 TSval=2165678905 TSecr=3655660293 [TCP segment of a reassembled PDU]"
"106","110.534382274","172.16.10.9","172.16.20.9","TCP","1786","0.045756702","5004  >  39686 [PSH, ACK] Seq=263260 Ack=137 Win=43520 Len=1720 TSval=2165678970 TSecr=3655660312 [TCP segment of a reassembled PDU]"
"108","110.534822507","172.16.10.9","172.16.20.9","TCP","10066","0.000424819","5004  >  39686 [PSH, ACK] Seq=264980 Ack=137 Win=43520 Len=10000 TSval=2165678970 TSecr=3655660358 [TCP segment of a reassembled PDU]"
"110","110.548809958","172.16.10.9","172.16.20.9","TCP","4410","0.013845725","5004  >  39686 [PSH, ACK] Seq=274980 Ack=137 Win=43520 Len=4344 TSval=2165678971 TSecr=3655660358 [TCP segment of a reassembled PDU]"
"112","110.552499502","172.16.10.9","172.16.20.9","TCP","1133","0.003646270","5004  >  39686 [PSH, ACK] Seq=279324 Ack=137 Win=43520 Len=1067 TSval=2165678971 TSecr=3655660359 [TCP segment of a reassembled PDU]"
