"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"115","2.743047143","172.16.20.1","172.16.20.9","TCP","1378","0.007967514","5004  >  36330 [PSH, ACK] Seq=319363 Ack=1 Win=85 Len=1312 TSval=2121622058 TSecr=3180718819"
"117","2.744325185","172.16.20.1","172.16.20.9","TCP","4410","0.001252024","5004  >  36330 [PSH, ACK] Seq=320675 Ack=1 Win=85 Len=4344 TSval=2121622058 TSecr=3180718926"
"119","2.751062639","172.16.20.1","172.16.20.9","TCP","1314","0.006718880","5004  >  36330 [PSH, ACK] Seq=325019 Ack=1 Win=85 Len=1248 TSval=2121622066 TSecr=3180718934"
"121","2.779147238","172.16.20.1","172.16.20.9","TCP","1404","0.028053653","5004  >  36330 [PSH, ACK] Seq=326267 Ack=1 Win=85 Len=1338 TSval=2121622102 TSecr=3180718942"
"123","2.821962183","172.16.20.1","172.16.20.9","TCP","8926","0.042800382","5004  >  36330 [PSH, ACK] Seq=327605 Ack=1 Win=85 Len=8860 TSval=2121622144 TSecr=3180718970"
"125","2.991328828","172.16.20.1","172.16.20.9","TCP","7667","0.169350485","5004  >  36330 [PSH, ACK] Seq=336465 Ack=1 Win=85 Len=7601 TSval=2121622314 TSecr=3180719012"
"127","3.002951588","172.16.20.1","172.16.20.9","TCP","3684","0.011604805","5004  >  36330 [PSH, ACK] Seq=344066 Ack=1 Win=85 Len=3618 TSval=2121622314 TSecr=3180719182"
"129","3.120371189","172.16.20.1","172.16.20.9","TCP","10066","0.117393890","5004  >  36330 [PSH, ACK] Seq=347684 Ack=1 Win=85 Len=10000 TSval=2121622443 TSecr=3180719193"
"131","3.129968922","172.16.20.1","172.16.20.9","TCP","10066","0.009581136","5004  >  36330 [PSH, ACK] Seq=357684 Ack=1 Win=85 Len=10000 TSval=2121622443 TSecr=3180719311"
"133","3.140119356","172.16.20.1","172.16.20.9","TCP","2897","0.010126847","5004  >  36330 [PSH, ACK] Seq=367684 Ack=1 Win=85 Len=2831 TSval=2121622453 TSecr=3180719320"
"135","3.163010943","172.16.20.1","172.16.20.9","TCP","1077","0.022865957","5004  >  36330 [PSH, ACK] Seq=370515 Ack=1 Win=85 Len=1011 TSval=2121622485 TSecr=3180719331"
"137","3.252795162","172.16.20.1","172.16.20.9","TCP","10066","0.089768239","5004  >  36330 [PSH, ACK] Seq=371526 Ack=1 Win=85 Len=10000 TSval=2121622575 TSecr=3180719354"
"139","3.261785240","172.16.20.1","172.16.20.9","TCP","7317","0.008972157","5004  >  36330 [PSH, ACK] Seq=381526 Ack=1 Win=85 Len=7251 TSval=2121622575 TSecr=3180719443"
"141","3.322329428","172.16.20.1","172.16.20.9","TCP","9592","0.060519868","5004  >  36330 [PSH, ACK] Seq=388777 Ack=1 Win=85 Len=9526 TSval=2121622645 TSecr=3180719452"
"143","3.496318060","172.16.20.1","172.16.20.9","TCP","10066","0.173973081","5004  >  36330 [PSH, ACK] Seq=398303 Ack=1 Win=85 Len=10000 TSval=2121622819 TSecr=3180719513"
"145","3.506269383","172.16.20.1","172.16.20.9","TCP","9059","0.009925867","5004  >  36330 [PSH, ACK] Seq=408303 Ack=1 Win=85 Len=8993 TSval=2121622819 TSecr=3180719687"
"147","3.563471617","172.16.20.1","172.16.20.9","TCP","10066","0.057178292","5004  >  36330 [PSH, ACK] Seq=417296 Ack=1 Win=85 Len=10000 TSval=2121622886 TSecr=3180719697"
"149","3.574872255","172.16.20.1","172.16.20.9","TCP","1074","0.011386028","5004  >  36330 [PSH, ACK] Seq=427296 Ack=1 Win=85 Len=1008 TSval=2121622886 TSecr=3180719754"
"151","3.744433377","172.16.20.1","172.16.20.9","TCP","10066","0.169527693","5004  >  36330 [PSH, ACK] Seq=428304 Ack=1 Win=85 Len=10000 TSval=2121623067 TSecr=3180719765"
"153","3.757059699","172.16.20.1","172.16.20.9","TCP","10066","0.012388234","5004  >  36330 [PSH, ACK] Seq=438304 Ack=1 Win=85 Len=10000 TSval=2121623067 TSecr=3180719935"
"155","3.767632236","172.16.20.1","172.16.20.9","TCP","1663","0.010540372","5004  >  36330 [PSH, ACK] Seq=448304 Ack=1 Win=85 Len=1597 TSval=2121623080 TSecr=3180719948"
"157","3.809067474","172.16.20.1","172.16.20.9","TCP","7306","0.041409570","5004  >  36330 [PSH, ACK] Seq=449901 Ack=1 Win=85 Len=7240 TSval=2121623131 TSecr=3180719958"
"159","3.815543152","172.16.20.1","172.16.20.9","TCP","1105","0.006262191","5004  >  36330 [PSH, ACK] Seq=457141 Ack=1 Win=85 Len=1039 TSval=2121623131 TSecr=3180719958"
"161","3.816544490","172.16.20.1","172.16.20.9","TCP","1514","0.000769721","5004  >  36330 [ACK] Seq=458180 Ack=1 Win=85 Len=1448 TSval=2121623132 TSecr=3180720000"
"162","3.818576327","172.16.20.1","172.16.20.9","TCP","351","0.002031837","5004  >  36330 [PSH, ACK] Seq=459628 Ack=1 Win=85 Len=285 TSval=2121623138 TSecr=3180720006"
"164","3.989172669","172.16.20.1","172.16.20.9","TCP","7567","0.170573325","5004  >  36330 [PSH, ACK] Seq=459913 Ack=1 Win=85 Len=7501 TSval=2121623312 TSecr=3180720009"
"166","3.998299872","172.16.20.1","172.16.20.9","TCP","4410","0.007798977","5004  >  36330 [PSH, ACK] Seq=467414 Ack=1 Win=85 Len=4344 TSval=2121623312 TSecr=3180720009"
"168","4.002882177","172.16.20.1","172.16.20.9","TCP","1232","0.004552911","5004  >  36330 [PSH, ACK] Seq=471758 Ack=1 Win=85 Len=1166 TSval=2121623313 TSecr=3180720181"
