"No.","Time","Source","Destination","Protocol","Length","Time delta from previous captured frame","Info"
"16424","30.471136714","172.16.20.1","172.16.20.9","TCP","2962","0.005126322","5004  >  54680 [PSH, ACK] Seq=1882401 Ack=1 Win=85 Len=2896 TSval=2122201388 TSecr=3181298256"
"16426","30.472960671","172.16.20.1","172.16.20.9","TCP","2962","0.001454118","5004  >  54680 [PSH, ACK] Seq=1885297 Ack=1 Win=85 Len=2896 TSval=2122201392 TSecr=3181298260"
"16475","30.569386967","172.16.20.1","172.16.20.9","TCP","2962","0.001874598","5004  >  54680 [PSH, ACK] Seq=1888193 Ack=1 Win=85 Len=2896 TSval=2122201485 TSecr=3181298353"
"16477","30.573277405","172.16.20.1","172.16.20.9","TCP","2962","-0.000032801","5004  >  54680 [PSH, ACK] Seq=1891089 Ack=1 Win=85 Len=2896 TSval=2122201487 TSecr=3181298355"
"16526","30.676177202","172.16.20.1","172.16.20.9","TCP","2962","0.001165555","5004  >  54680 [PSH, ACK] Seq=1893985 Ack=1 Win=85 Len=2896 TSval=2122201587 TSecr=3181298455"
"16528","30.679645199","172.16.20.1","172.16.20.9","TCP","2962","0.003373407","5004  >  54680 [PSH, ACK] Seq=1896881 Ack=1 Win=85 Len=2896 TSval=2122201587 TSecr=3181298455"
"16577","30.789846594","172.16.20.1","172.16.20.9","TCP","2962","0.000000374","5004  >  54680 [PSH, ACK] Seq=1899777 Ack=1 Win=85 Len=2896 TSval=2122201690 TSecr=3181298558"
"16579","30.797316669","172.16.20.1","172.16.20.9","TCP","1514","0.007364810","5004  >  54680 [ACK] Seq=1902673 Ack=1 Win=85 Len=1448 TSval=2122201694 TSecr=3181298561"
"16580","30.797316961","172.16.20.1","172.16.20.9","TCP","2962","0.000000292","5004  >  54680 [PSH, ACK] Seq=1904121 Ack=1 Win=85 Len=2896 TSval=2122201694 TSecr=3181298561"
"16628","30.887346349","172.16.20.1","172.16.20.9","TCP","2962","0.002948161","5004  >  54680 [PSH, ACK] Seq=1907017 Ack=1 Win=85 Len=2896 TSval=2122201804 TSecr=3181298672"
"16631","30.890562584","172.16.20.1","172.16.20.9","TCP","2962","0.001403163","5004  >  54680 [PSH, ACK] Seq=1909913 Ack=1 Win=85 Len=2896 TSval=2122201811 TSecr=3181298679"
"16679","30.992368870","172.16.20.1","172.16.20.9","TCP","2962","0.003683146","5004  >  54680 [PSH, ACK] Seq=1912809 Ack=1 Win=85 Len=2896 TSval=2122201901 TSecr=3181298769"
"16682","30.995464732","172.16.20.1","172.16.20.9","TCP","2962","0.001836467","5004  >  54680 [PSH, ACK] Seq=1915705 Ack=1 Win=85 Len=2896 TSval=2122201905 TSecr=3181298772"
"16730","31.138275940","172.16.20.1","172.16.20.9","TCP","2962","0.001753322","5004  >  54680 [PSH, ACK] Seq=1918601 Ack=1 Win=85 Len=2896 TSval=2122202007 TSecr=3181298874"
"16733","31.142315657","172.16.20.1","172.16.20.9","TCP","2962","0.001467746","5004  >  54680 [PSH, ACK] Seq=1921497 Ack=1 Win=85 Len=2896 TSval=2122202009 TSecr=3181298877"
"16781","31.229563171","172.16.20.1","172.16.20.9","TCP","2962","0.001414788","5004  >  54680 [PSH, ACK] Seq=1924393 Ack=1 Win=85 Len=2896 TSval=2122202152 TSecr=3181299020"
"16784","31.236235833","172.16.20.1","172.16.20.9","TCP","2962","0.000000625","5004  >  54680 [PSH, ACK] Seq=1927289 Ack=1 Win=85 Len=2896 TSval=2122202156 TSecr=3181299024"
"16832","31.381428109","172.16.20.1","172.16.20.9","TCP","2962","0.000831791","5004  >  54680 [PSH, ACK] Seq=1930185 Ack=1 Win=85 Len=2896 TSval=2122202243 TSecr=3181299111"
"16834","31.385316961","172.16.20.1","172.16.20.9","TCP","2962","0.003870411","5004  >  54680 [PSH, ACK] Seq=1933081 Ack=1 Win=85 Len=2896 TSval=2122202251 TSecr=3181299119"
"16883","31.500986317","172.16.20.1","172.16.20.9","TCP","2962","0.001425764","5004  >  54680 [PSH, ACK] Seq=1935977 Ack=1 Win=85 Len=2896 TSval=2122202395 TSecr=3181299263"
"16885","31.506509206","172.16.20.1","172.16.20.9","TCP","2962","0.000096396","5004  >  54680 [PSH, ACK] Seq=1938873 Ack=1 Win=85 Len=2896 TSval=2122202399 TSecr=3181299267"
"16934","31.593318863","172.16.20.1","172.16.20.9","TCP","2962","0.007660317","5004  >  54680 [PSH, ACK] Seq=1941769 Ack=1 Win=85 Len=2896 TSval=2122202520 TSecr=3181299388"
"16936","31.594890757","172.16.20.1","172.16.20.9","TCP","2962","0.001533850","5004  >  54680 [PSH, ACK] Seq=1944665 Ack=1 Win=85 Len=2896 TSval=2122202520 TSecr=3181299388"
"16985","31.681081073","172.16.20.1","172.16.20.9","TCP","2962","0.001913613","5004  >  54680 [PSH, ACK] Seq=1947561 Ack=1 Win=85 Len=2896 TSval=2122202607 TSecr=3181299475"
"16987","31.684009131","172.16.20.1","172.16.20.9","TCP","2962","0.002729616","5004  >  54680 [PSH, ACK] Seq=1950457 Ack=1 Win=85 Len=2896 TSval=2122202609 TSecr=3181299477"
"17036","31.771969053","172.16.20.1","172.16.20.9","TCP","2962","0.000000661","5004  >  54680 [PSH, ACK] Seq=1953353 Ack=1 Win=85 Len=2896 TSval=2122202695 TSecr=3181299563"
"17038","31.779070908","172.16.20.1","172.16.20.9","TCP","2962","0.006538266","5004  >  54680 [PSH, ACK] Seq=1956249 Ack=1 Win=85 Len=2896 TSval=2122202698 TSecr=3181299566"
"17086","31.862412448","172.16.20.1","172.16.20.9","TCP","2962","0.002652859","5004  >  54680 [PSH, ACK] Seq=1959145 Ack=1 Win=85 Len=2896 TSval=2122202786 TSecr=3181299654"
"17089","31.866405876","172.16.20.1","172.16.20.9","TCP","2962","0.002147519","5004  >  54680 [PSH, ACK] Seq=1962041 Ack=1 Win=85 Len=2896 TSval=2122202793 TSecr=3181299661"
"17137","31.950947893","172.16.20.1","172.16.20.9","TCP","2962","0.003229065","5004  >  54680 [PSH, ACK] Seq=1964937 Ack=1 Win=85 Len=2896 TSval=2122202876 TSecr=3181299744"
"17140","31.957419745","172.16.20.1","172.16.20.9","TCP","1514","0.004833890","5004  >  54680 [ACK] Seq=1967833 Ack=1 Win=85 Len=1448 TSval=2122202880 TSecr=3181299748"
"17141","31.957420060","172.16.20.1","172.16.20.9","TCP","2962","0.000000315","5004  >  54680 [PSH, ACK] Seq=1969281 Ack=1 Win=85 Len=2896 TSval=2122202880 TSecr=3181299748"
"17189","32.036125102","172.16.20.1","172.16.20.9","TCP","2962","0.001590738","5004  >  54680 [PSH, ACK] Seq=1972177 Ack=1 Win=85 Len=2896 TSval=2122202965 TSecr=3181299833"
"17192","32.043198589","172.16.20.1","172.16.20.9","TCP","2962","0.004078349","5004  >  54680 [PSH, ACK] Seq=1975073 Ack=1 Win=85 Len=2896 TSval=2122202971 TSecr=3181299833"
"17240","32.130610824","172.16.20.1","172.16.20.9","TCP","2962","0.002066490","5004  >  54680 [PSH, ACK] Seq=1977969 Ack=1 Win=85 Len=2896 TSval=2122203050 TSecr=3181299918"
"17243","32.135003373","172.16.20.1","172.16.20.9","TCP","2962","0.001389623","5004  >  54680 [PSH, ACK] Seq=1980865 Ack=1 Win=85 Len=2896 TSval=2122203057 TSecr=3181299925"
"17291","32.237758648","172.16.20.1","172.16.20.9","TCP","2962","0.001694752","5004  >  54680 [PSH, ACK] Seq=1983761 Ack=1 Win=85 Len=2896 TSval=2122203144 TSecr=3181300012"
"17294","32.242587370","172.16.20.1","172.16.20.9","TCP","2962","0.001661630","5004  >  54680 [PSH, ACK] Seq=1986657 Ack=1 Win=85 Len=2896 TSval=2122203149 TSecr=3181300017"
"17342","32.330080684","172.16.20.1","172.16.20.9","TCP","2962","0.001564578","5004  >  54680 [PSH, ACK] Seq=1989553 Ack=1 Win=85 Len=2896 TSval=2122203252 TSecr=3181300120"
"17345","32.335185957","172.16.20.1","172.16.20.9","TCP","2962","0.002741089","5004  >  54680 [PSH, ACK] Seq=1992449 Ack=1 Win=85 Len=2896 TSval=2122203256 TSecr=3181300124"
"17393","32.415372950","172.16.20.1","172.16.20.9","TCP","2962","0.001273394","5004  >  54680 [PSH, ACK] Seq=1995345 Ack=1 Win=85 Len=2896 TSval=2122203344 TSecr=3181300212"
"17396","32.419514317","172.16.20.1","172.16.20.9","TCP","2962","0.001341049","5004  >  54680 [PSH, ACK] Seq=1998241 Ack=1 Win=85 Len=2896 TSval=2122203349 TSecr=3181300217"
"17444","32.498929632","172.16.20.1","172.16.20.9","TCP","2962","0.000770706","5004  >  54680 [PSH, ACK] Seq=2001137 Ack=1 Win=85 Len=2896 TSval=2122203431 TSecr=3181300299"
"17447","32.503494199","172.16.20.1","172.16.20.9","TCP","2962","0.001644298","5004  >  54680 [PSH, ACK] Seq=2004033 Ack=1 Win=85 Len=2896 TSval=2122203433 TSecr=3181300301"
"17495","32.583467202","172.16.20.1","172.16.20.9","TCP","2962","0.001934306","5004  >  54680 [PSH, ACK] Seq=2006929 Ack=1 Win=85 Len=2896 TSval=2122203513 TSecr=3181300381"
"17498","32.588026635","172.16.20.1","172.16.20.9","TCP","2962","0.001031650","5004  >  54680 [PSH, ACK] Seq=2009825 Ack=1 Win=85 Len=2896 TSval=2122203517 TSecr=3181300385"
"17546","32.671720388","172.16.20.1","172.16.20.9","TCP","2962","0.002407566","5004  >  54680 [PSH, ACK] Seq=2012721 Ack=1 Win=85 Len=2896 TSval=2122203598 TSecr=3181300465"
"17548","32.673474531","172.16.20.1","172.16.20.9","TCP","2962","0.001229224","5004  >  54680 [PSH, ACK] Seq=2015617 Ack=1 Win=85 Len=2896 TSval=2122203602 TSecr=3181300470"
"17597","32.765039360","172.16.20.1","172.16.20.9","TCP","2962","0.001820338","5004  >  54680 [PSH, ACK] Seq=2018513 Ack=1 Win=85 Len=2896 TSval=2122203686 TSecr=3181300554"
"17599","32.767570804","172.16.20.1","172.16.20.9","TCP","2962","0.002328219","5004  >  54680 [PSH, ACK] Seq=2021409 Ack=1 Win=85 Len=2896 TSval=2122203687 TSecr=3181300555"
"17648","32.873451098","172.16.20.1","172.16.20.9","TCP","2962","0.001030765","5004  >  54680 [PSH, ACK] Seq=2024305 Ack=1 Win=85 Len=2896 TSval=2122203779 TSecr=3181300647"
"17650","32.878180686","172.16.20.1","172.16.20.9","TCP","2962","0.004550934","5004  >  54680 [PSH, ACK] Seq=2027201 Ack=1 Win=85 Len=2896 TSval=2122203781 TSecr=3181300649"
"17699","33.029026502","172.16.20.1","172.16.20.9","TCP","2962","0.001456376","5004  >  54680 [PSH, ACK] Seq=2030097 Ack=1 Win=85 Len=2896 TSval=2122203887 TSecr=3181300755"
"17701","33.032214490","172.16.20.1","172.16.20.9","TCP","1514","0.003169968","5004  >  54680 [ACK] Seq=2032993 Ack=1 Win=85 Len=1448 TSval=2122203892 TSecr=3181300760"
"17702","33.040991739","172.16.20.1","172.16.20.9","TCP","2962","0.008777249","5004  >  54680 [PSH, ACK] Seq=2034441 Ack=1 Win=85 Len=2896 TSval=2122203892 TSecr=3181300760"
"17751","33.128114500","172.16.20.1","172.16.20.9","TCP","2962","0.001445481","5004  >  54680 [PSH, ACK] Seq=2037337 Ack=1 Win=85 Len=2896 TSval=2122204043 TSecr=3181300911"
"17753","33.131239733","172.16.20.1","172.16.20.9","TCP","2962","0.002496485","5004  >  54680 [PSH, ACK] Seq=2040233 Ack=1 Win=85 Len=2896 TSval=2122204056 TSecr=3181300923"
"17802","33.229314164","172.16.20.1","172.16.20.9","TCP","2962","0.000000521","5004  >  54680 [PSH, ACK] Seq=2043129 Ack=1 Win=85 Len=2896 TSval=2122204142 TSecr=3181301010"
"17804","33.232441783","172.16.20.1","172.16.20.9","TCP","2962","0.002828695","5004  >  54680 [PSH, ACK] Seq=2046025 Ack=1 Win=85 Len=2896 TSval=2122204145 TSecr=3181301013"
"17854","33.365754078","172.16.20.1","172.16.20.9","TCP","2962","0.001688770","5004  >  54680 [PSH, ACK] Seq=2048921 Ack=1 Win=85 Len=2896 TSval=2122204243 TSecr=3181301111"
"17856","33.383073042","172.16.20.1","172.16.20.9","TCP","2962","0.017285648","5004  >  54680 [PSH, ACK] Seq=2051817 Ack=1 Win=85 Len=2896 TSval=2122204247 TSecr=3181301114"
"17906","33.497114132","172.16.20.1","172.16.20.9","TCP","2962","0.000000264","5004  >  54680 [PSH, ACK] Seq=2054713 Ack=1 Win=85 Len=2896 TSval=2122204380 TSecr=3181301248"
"17908","33.500829824","172.16.20.1","172.16.20.9","TCP","2962","0.002104552","5004  >  54680 [PSH, ACK] Seq=2057609 Ack=1 Win=85 Len=2896 TSval=2122204397 TSecr=3181301265"
"17956","33.575823283","172.16.20.1","172.16.20.9","TCP","2962","0.000896265","5004  >  54680 [PSH, ACK] Seq=2060505 Ack=1 Win=85 Len=2896 TSval=2122204513 TSecr=3181301380"
"17959","33.580196492","172.16.20.1","172.16.20.9","TCP","2962","0.001042294","5004  >  54680 [PSH, ACK] Seq=2063401 Ack=1 Win=85 Len=2896 TSval=2122204515 TSecr=3181301383"
"18007","33.657185148","172.16.20.1","172.16.20.9","TCP","2962","0.000476482","5004  >  54680 [PSH, ACK] Seq=2066297 Ack=1 Win=85 Len=2896 TSval=2122204590 TSecr=3181301458"
"18010","33.670941230","172.16.20.1","172.16.20.9","TCP","2962","0.000000621","5004  >  54680 [PSH, ACK] Seq=2069193 Ack=1 Win=85 Len=2896 TSval=2122204594 TSecr=3181301462"
"18057","33.761495613","172.16.20.1","172.16.20.9","TCP","2962","0.001716609","5004  >  54680 [PSH, ACK] Seq=2072089 Ack=1 Win=85 Len=2896 TSval=2122204671 TSecr=3181301539"
"18060","33.767923842","172.16.20.1","172.16.20.9","TCP","2962","0.003702960","5004  >  54680 [PSH, ACK] Seq=2074985 Ack=1 Win=85 Len=2896 TSval=2122204685 TSecr=3181301553"
